ID_MARCA,MARCA,ID_LINHA,LINHA,DATA_VENDA,QTD_VENDA
5,BELEZA NA WEB,1,CABELOS,12/30/2018,14
5,BELEZA NA WEB,2,PERFUMARIA,08/22/2018,16
2,EUDORA,3,MAQUIAGEM,10/23/2018,7
3,QUEM DISSE BERENICE,4,SOLAR,01/04/2018,19
3,QUEM DISSE BERENICE,4,SOLAR,11/11/2018,1
4,VULT,4,SOLAR,01/01/2018,18
1,BOTICÁRIO,3,MAQUIAGEM,08/19/2018,8
2,EUDORA,4,SOLAR,09/15/2018,19
5,BELEZA NA WEB,2,PERFUMARIA,11/08/2018,7
3,QUEM DISSE BERENICE,2,PERFUMARIA,05/12/2018,2
4,VULT,3,MAQUIAGEM,03/01/2018,11
3,QUEM DISSE BERENICE,4,SOLAR,12/13/2018,20
3,QUEM DISSE BERENICE,5,HIDRATANTES,02/20/2018,20
4,VULT,5,HIDRATANTES,02/24/2018,1
1,BOTICÁRIO,4,SOLAR,07/23/2018,16
5,BELEZA NA WEB,2,PERFUMARIA,10/01/2018,12
1,BOTICÁRIO,1,CABELOS,09/29/2018,18
3,QUEM DISSE BERENICE,5,HIDRATANTES,07/08/2018,1
3,QUEM DISSE BERENICE,4,SOLAR,03/03/2018,12
5,BELEZA NA WEB,5,HIDRATANTES,12/12/2018,7
3,QUEM DISSE BERENICE,1,CABELOS,04/24/2018,14
2,EUDORA,2,PERFUMARIA,11/04/2018,4
4,VULT,4,SOLAR,10/21/2018,17
3,QUEM DISSE BERENICE,5,HIDRATANTES,10/16/2018,6
4,VULT,4,SOLAR,10/04/2018,3
5,BELEZA NA WEB,4,SOLAR,03/14/2018,4
1,BOTICÁRIO,5,HIDRATANTES,04/23/2018,3
5,BELEZA NA WEB,2,PERFUMARIA,12/03/2018,20
4,VULT,4,SOLAR,09/12/2018,3
1,BOTICÁRIO,5,HIDRATANTES,10/14/2018,9
5,BELEZA NA WEB,5,HIDRATANTES,04/21/2018,19
1,BOTICÁRIO,1,CABELOS,06/26/2018,7
5,BELEZA NA WEB,4,SOLAR,03/05/2018,9
1,BOTICÁRIO,1,CABELOS,04/09/2018,8
1,BOTICÁRIO,3,MAQUIAGEM,08/25/2018,11
3,QUEM DISSE BERENICE,1,CABELOS,07/16/2018,9
5,BELEZA NA WEB,5,HIDRATANTES,01/12/2018,2
2,EUDORA,5,HIDRATANTES,04/05/2018,17
1,BOTICÁRIO,2,PERFUMARIA,02/06/2018,10
4,VULT,1,CABELOS,10/31/2018,17
3,QUEM DISSE BERENICE,2,PERFUMARIA,11/16/2018,12
5,BELEZA NA WEB,4,SOLAR,01/09/2018,16
5,BELEZA NA WEB,1,CABELOS,09/12/2018,11
1,BOTICÁRIO,5,HIDRATANTES,12/13/2018,1
5,BELEZA NA WEB,2,PERFUMARIA,04/17/2018,3
1,BOTICÁRIO,1,CABELOS,07/01/2018,9
1,BOTICÁRIO,3,MAQUIAGEM,07/15/2018,7
5,BELEZA NA WEB,4,SOLAR,03/31/2018,15
2,EUDORA,5,HIDRATANTES,02/08/2018,6
3,QUEM DISSE BERENICE,2,PERFUMARIA,05/22/2018,5
2,EUDORA,2,PERFUMARIA,09/29/2018,9
5,BELEZA NA WEB,2,PERFUMARIA,12/15/2018,13
4,VULT,4,SOLAR,03/01/2018,16
2,EUDORA,1,CABELOS,02/06/2018,20
1,BOTICÁRIO,3,MAQUIAGEM,05/05/2018,5
2,EUDORA,5,HIDRATANTES,08/30/2018,20
4,VULT,4,SOLAR,08/27/2018,3
5,BELEZA NA WEB,3,MAQUIAGEM,05/03/2018,6
4,VULT,2,PERFUMARIA,04/14/2018,19
1,BOTICÁRIO,4,SOLAR,06/24/2018,14
4,VULT,5,HIDRATANTES,04/28/2018,14
2,EUDORA,5,HIDRATANTES,06/04/2018,20
2,EUDORA,3,MAQUIAGEM,06/28/2018,12
1,BOTICÁRIO,4,SOLAR,10/14/2018,9
1,BOTICÁRIO,3,MAQUIAGEM,08/31/2018,7
4,VULT,5,HIDRATANTES,05/10/2018,17
5,BELEZA NA WEB,5,HIDRATANTES,10/15/2018,8
5,BELEZA NA WEB,5,HIDRATANTES,11/29/2018,11
4,VULT,5,HIDRATANTES,04/30/2018,2
4,VULT,5,HIDRATANTES,03/04/2018,1
3,QUEM DISSE BERENICE,5,HIDRATANTES,03/19/2018,17
1,BOTICÁRIO,2,PERFUMARIA,11/17/2018,3
1,BOTICÁRIO,4,SOLAR,08/13/2018,9
2,EUDORA,4,SOLAR,02/16/2018,20
4,VULT,1,CABELOS,06/02/2018,9
1,BOTICÁRIO,4,SOLAR,05/31/2018,11
5,BELEZA NA WEB,2,PERFUMARIA,11/02/2018,20
4,VULT,1,CABELOS,03/13/2018,20
1,BOTICÁRIO,1,CABELOS,01/17/2018,16
4,VULT,3,MAQUIAGEM,02/17/2018,13
5,BELEZA NA WEB,3,MAQUIAGEM,01/29/2018,8
4,VULT,3,MAQUIAGEM,10/14/2018,15
4,VULT,1,CABELOS,12/15/2018,7
5,BELEZA NA WEB,3,MAQUIAGEM,12/28/2018,13
1,BOTICÁRIO,2,PERFUMARIA,02/07/2018,12
4,VULT,1,CABELOS,10/03/2018,6
4,VULT,4,SOLAR,07/24/2018,4
1,BOTICÁRIO,2,PERFUMARIA,12/21/2018,3
3,QUEM DISSE BERENICE,2,PERFUMARIA,11/28/2018,13
1,BOTICÁRIO,3,MAQUIAGEM,04/02/2018,1
1,BOTICÁRIO,4,SOLAR,12/21/2018,14
3,QUEM DISSE BERENICE,4,SOLAR,08/04/2018,4
1,BOTICÁRIO,2,PERFUMARIA,12/21/2018,12
4,VULT,1,CABELOS,01/23/2018,4
3,QUEM DISSE BERENICE,1,CABELOS,10/05/2018,5
2,EUDORA,4,SOLAR,12/25/2018,19
3,QUEM DISSE BERENICE,5,HIDRATANTES,11/08/2018,7
3,QUEM DISSE BERENICE,5,HIDRATANTES,07/01/2018,15
4,VULT,5,HIDRATANTES,01/21/2018,10
5,BELEZA NA WEB,4,SOLAR,06/30/2018,17
5,BELEZA NA WEB,5,HIDRATANTES,10/06/2018,3
2,EUDORA,3,MAQUIAGEM,07/30/2018,15
2,EUDORA,1,CABELOS,08/29/2018,1
5,BELEZA NA WEB,1,CABELOS,08/31/2018,11
3,QUEM DISSE BERENICE,2,PERFUMARIA,04/11/2018,6
3,QUEM DISSE BERENICE,5,HIDRATANTES,06/28/2018,5
4,VULT,1,CABELOS,11/22/2018,2
3,QUEM DISSE BERENICE,4,SOLAR,06/24/2018,7
3,QUEM DISSE BERENICE,4,SOLAR,12/21/2018,1
5,BELEZA NA WEB,5,HIDRATANTES,07/19/2018,15
3,QUEM DISSE BERENICE,1,CABELOS,03/24/2018,12
5,BELEZA NA WEB,4,SOLAR,01/05/2018,19
1,BOTICÁRIO,1,CABELOS,09/16/2018,18
2,EUDORA,1,CABELOS,10/23/2018,7
5,BELEZA NA WEB,3,MAQUIAGEM,10/16/2018,12
2,EUDORA,3,MAQUIAGEM,02/12/2018,17
3,QUEM DISSE BERENICE,2,PERFUMARIA,04/01/2018,10
5,BELEZA NA WEB,1,CABELOS,01/27/2018,11
2,EUDORA,4,SOLAR,06/18/2018,12
1,BOTICÁRIO,4,SOLAR,11/13/2018,19
1,BOTICÁRIO,2,PERFUMARIA,07/27/2018,13
2,EUDORA,3,MAQUIAGEM,01/28/2018,2
1,BOTICÁRIO,5,HIDRATANTES,07/08/2018,20
5,BELEZA NA WEB,1,CABELOS,07/25/2018,10
2,EUDORA,5,HIDRATANTES,03/02/2018,5
4,VULT,4,SOLAR,10/16/2018,4
4,VULT,1,CABELOS,01/23/2018,1
2,EUDORA,3,MAQUIAGEM,11/02/2018,13
4,VULT,3,MAQUIAGEM,01/09/2018,3
3,QUEM DISSE BERENICE,1,CABELOS,01/30/2018,17
5,BELEZA NA WEB,4,SOLAR,11/06/2018,20
2,EUDORA,1,CABELOS,04/03/2018,14
1,BOTICÁRIO,5,HIDRATANTES,08/11/2018,11
3,QUEM DISSE BERENICE,5,HIDRATANTES,09/11/2018,16
4,VULT,1,CABELOS,07/13/2018,8
4,VULT,3,MAQUIAGEM,06/01/2018,12
5,BELEZA NA WEB,3,MAQUIAGEM,05/25/2018,17
2,EUDORA,3,MAQUIAGEM,01/04/2018,6
1,BOTICÁRIO,5,HIDRATANTES,11/30/2018,10
3,QUEM DISSE BERENICE,3,MAQUIAGEM,01/04/2018,7
2,EUDORA,5,HIDRATANTES,11/15/2018,8
3,QUEM DISSE BERENICE,2,PERFUMARIA,05/20/2018,16
5,BELEZA NA WEB,2,PERFUMARIA,07/19/2018,15
2,EUDORA,4,SOLAR,08/02/2018,10
1,BOTICÁRIO,2,PERFUMARIA,01/03/2018,11
5,BELEZA NA WEB,4,SOLAR,08/03/2018,19
1,BOTICÁRIO,1,CABELOS,10/17/2018,17
4,VULT,5,HIDRATANTES,09/15/2018,4
2,EUDORA,3,MAQUIAGEM,06/24/2018,6
3,QUEM DISSE BERENICE,3,MAQUIAGEM,06/30/2018,18
3,QUEM DISSE BERENICE,4,SOLAR,09/10/2018,13
1,BOTICÁRIO,1,CABELOS,08/10/2018,16
2,EUDORA,2,PERFUMARIA,04/20/2018,5
1,BOTICÁRIO,3,MAQUIAGEM,07/09/2018,19
5,BELEZA NA WEB,4,SOLAR,09/30/2018,1
2,EUDORA,1,CABELOS,01/11/2018,17
3,QUEM DISSE BERENICE,2,PERFUMARIA,06/29/2018,3
4,VULT,1,CABELOS,12/25/2018,13
3,QUEM DISSE BERENICE,4,SOLAR,12/03/2018,16
1,BOTICÁRIO,2,PERFUMARIA,08/09/2018,4
1,BOTICÁRIO,1,CABELOS,04/21/2018,13
3,QUEM DISSE BERENICE,4,SOLAR,12/17/2018,9
2,EUDORA,3,MAQUIAGEM,09/18/2018,18
2,EUDORA,4,SOLAR,09/15/2018,8
4,VULT,3,MAQUIAGEM,10/30/2018,16
5,BELEZA NA WEB,4,SOLAR,08/20/2018,16
2,EUDORA,5,HIDRATANTES,12/31/2018,18
5,BELEZA NA WEB,2,PERFUMARIA,08/01/2018,5
4,VULT,4,SOLAR,10/03/2018,14
3,QUEM DISSE BERENICE,5,HIDRATANTES,11/30/2018,20
2,EUDORA,2,PERFUMARIA,02/03/2018,17
2,EUDORA,5,HIDRATANTES,11/21/2018,15
2,EUDORA,4,SOLAR,12/02/2018,9
4,VULT,3,MAQUIAGEM,10/23/2018,9
1,BOTICÁRIO,4,SOLAR,04/19/2018,14
1,BOTICÁRIO,5,HIDRATANTES,10/17/2018,1
4,VULT,3,MAQUIAGEM,05/20/2018,18
5,BELEZA NA WEB,4,SOLAR,03/21/2018,1
3,QUEM DISSE BERENICE,3,MAQUIAGEM,03/15/2018,11
2,EUDORA,3,MAQUIAGEM,02/06/2018,12
2,EUDORA,3,MAQUIAGEM,01/31/2018,19
1,BOTICÁRIO,2,PERFUMARIA,03/01/2018,11
5,BELEZA NA WEB,1,CABELOS,07/20/2018,8
5,BELEZA NA WEB,3,MAQUIAGEM,06/04/2018,18
1,BOTICÁRIO,5,HIDRATANTES,07/07/2018,19
4,VULT,1,CABELOS,02/01/2018,14
2,EUDORA,3,MAQUIAGEM,06/25/2018,7
2,EUDORA,1,CABELOS,05/13/2018,8
1,BOTICÁRIO,4,SOLAR,07/25/2018,16
2,EUDORA,2,PERFUMARIA,02/04/2018,3
3,QUEM DISSE BERENICE,4,SOLAR,11/09/2018,10
3,QUEM DISSE BERENICE,4,SOLAR,10/09/2018,18
3,QUEM DISSE BERENICE,1,CABELOS,09/25/2018,11
2,EUDORA,2,PERFUMARIA,10/16/2018,4
3,QUEM DISSE BERENICE,2,PERFUMARIA,04/19/2018,1
5,BELEZA NA WEB,4,SOLAR,11/11/2018,19
4,VULT,4,SOLAR,06/23/2018,4
1,BOTICÁRIO,1,CABELOS,04/04/2018,20
4,VULT,5,HIDRATANTES,02/01/2018,15
3,QUEM DISSE BERENICE,5,HIDRATANTES,10/01/2018,2
3,QUEM DISSE BERENICE,4,SOLAR,06/07/2018,4
4,VULT,3,MAQUIAGEM,04/05/2018,17
1,BOTICÁRIO,1,CABELOS,08/24/2018,13
2,EUDORA,2,PERFUMARIA,04/06/2018,17
2,EUDORA,5,HIDRATANTES,03/02/2018,3
3,QUEM DISSE BERENICE,3,MAQUIAGEM,05/03/2018,19
2,EUDORA,1,CABELOS,07/29/2018,7
5,BELEZA NA WEB,2,PERFUMARIA,06/30/2018,12
2,EUDORA,5,HIDRATANTES,04/26/2018,3
4,VULT,1,CABELOS,12/16/2018,10
4,VULT,3,MAQUIAGEM,12/23/2018,14
5,BELEZA NA WEB,5,HIDRATANTES,05/22/2018,8
3,QUEM DISSE BERENICE,4,SOLAR,03/01/2018,13
5,BELEZA NA WEB,3,MAQUIAGEM,09/13/2018,15
4,VULT,1,CABELOS,01/31/2018,14
4,VULT,2,PERFUMARIA,07/12/2018,10
4,VULT,1,CABELOS,07/30/2018,9
2,EUDORA,3,MAQUIAGEM,11/30/2018,16
1,BOTICÁRIO,3,MAQUIAGEM,05/06/2018,4
1,BOTICÁRIO,4,SOLAR,01/22/2018,18
5,BELEZA NA WEB,5,HIDRATANTES,01/10/2018,18
5,BELEZA NA WEB,2,PERFUMARIA,03/18/2018,11
3,QUEM DISSE BERENICE,1,CABELOS,07/01/2018,16
2,EUDORA,3,MAQUIAGEM,01/26/2018,13
2,EUDORA,3,MAQUIAGEM,05/03/2018,11
2,EUDORA,5,HIDRATANTES,07/17/2018,20
3,QUEM DISSE BERENICE,1,CABELOS,10/03/2018,4
5,BELEZA NA WEB,3,MAQUIAGEM,01/17/2018,13
5,BELEZA NA WEB,4,SOLAR,09/30/2018,6
1,BOTICÁRIO,1,CABELOS,09/09/2018,5
4,VULT,5,HIDRATANTES,10/04/2018,6
4,VULT,3,MAQUIAGEM,11/15/2018,12
1,BOTICÁRIO,2,PERFUMARIA,04/10/2018,2
4,VULT,2,PERFUMARIA,08/11/2018,6
1,BOTICÁRIO,4,SOLAR,09/20/2018,20
5,BELEZA NA WEB,4,SOLAR,12/10/2018,15
1,BOTICÁRIO,2,PERFUMARIA,01/07/2018,10
1,BOTICÁRIO,3,MAQUIAGEM,05/29/2018,3
5,BELEZA NA WEB,2,PERFUMARIA,03/01/2018,18
4,VULT,1,CABELOS,10/18/2018,20
3,QUEM DISSE BERENICE,1,CABELOS,08/23/2018,7
4,VULT,4,SOLAR,08/05/2018,20
1,BOTICÁRIO,1,CABELOS,05/02/2018,12
3,QUEM DISSE BERENICE,2,PERFUMARIA,08/09/2018,18
2,EUDORA,1,CABELOS,11/27/2018,6
5,BELEZA NA WEB,5,HIDRATANTES,05/06/2018,3
5,BELEZA NA WEB,1,CABELOS,02/16/2018,17
1,BOTICÁRIO,4,SOLAR,04/19/2018,13
3,QUEM DISSE BERENICE,5,HIDRATANTES,06/23/2018,9
2,EUDORA,4,SOLAR,06/12/2018,14
3,QUEM DISSE BERENICE,3,MAQUIAGEM,12/05/2018,12
5,BELEZA NA WEB,2,PERFUMARIA,10/02/2018,1
5,BELEZA NA WEB,1,CABELOS,09/16/2018,8
5,BELEZA NA WEB,2,PERFUMARIA,11/22/2018,5
2,EUDORA,1,CABELOS,01/17/2018,13
5,BELEZA NA WEB,5,HIDRATANTES,08/21/2018,13
3,QUEM DISSE BERENICE,3,MAQUIAGEM,11/07/2018,11
3,QUEM DISSE BERENICE,2,PERFUMARIA,02/26/2018,15
3,QUEM DISSE BERENICE,4,SOLAR,08/16/2018,15
4,VULT,4,SOLAR,04/07/2018,10
5,BELEZA NA WEB,4,SOLAR,01/21/2018,1
3,QUEM DISSE BERENICE,4,SOLAR,11/20/2018,20
4,VULT,4,SOLAR,02/08/2018,2
5,BELEZA NA WEB,4,SOLAR,04/21/2018,19
4,VULT,4,SOLAR,07/14/2018,12
2,EUDORA,2,PERFUMARIA,12/14/2018,7
5,BELEZA NA WEB,1,CABELOS,11/21/2018,12
4,VULT,3,MAQUIAGEM,03/26/2018,4
1,BOTICÁRIO,2,PERFUMARIA,10/10/2018,13
3,QUEM DISSE BERENICE,5,HIDRATANTES,05/20/2018,4
4,VULT,1,CABELOS,01/25/2018,15
2,EUDORA,2,PERFUMARIA,09/23/2018,15
3,QUEM DISSE BERENICE,2,PERFUMARIA,10/20/2018,17
2,EUDORA,5,HIDRATANTES,05/18/2018,13
2,EUDORA,4,SOLAR,07/20/2018,17
4,VULT,4,SOLAR,01/10/2018,1
3,QUEM DISSE BERENICE,3,MAQUIAGEM,01/27/2018,2
4,VULT,5,HIDRATANTES,11/18/2018,5
2,EUDORA,2,PERFUMARIA,12/05/2018,4
2,EUDORA,3,MAQUIAGEM,03/09/2018,20
3,QUEM DISSE BERENICE,1,CABELOS,03/15/2018,8
4,VULT,5,HIDRATANTES,10/26/2018,4
4,VULT,5,HIDRATANTES,07/05/2018,2
5,BELEZA NA WEB,3,MAQUIAGEM,06/26/2018,6
2,EUDORA,5,HIDRATANTES,05/28/2018,20
4,VULT,1,CABELOS,08/17/2018,15
1,BOTICÁRIO,2,PERFUMARIA,05/08/2018,9
5,BELEZA NA WEB,2,PERFUMARIA,07/13/2018,13
5,BELEZA NA WEB,2,PERFUMARIA,01/22/2018,11
4,VULT,2,PERFUMARIA,07/01/2018,15
2,EUDORA,4,SOLAR,01/29/2018,9
1,BOTICÁRIO,5,HIDRATANTES,12/18/2018,8
3,QUEM DISSE BERENICE,2,PERFUMARIA,07/02/2018,16
5,BELEZA NA WEB,2,PERFUMARIA,11/05/2018,13
2,EUDORA,1,CABELOS,11/24/2018,14
1,BOTICÁRIO,1,CABELOS,09/21/2018,12
5,BELEZA NA WEB,3,MAQUIAGEM,03/12/2018,3
1,BOTICÁRIO,4,SOLAR,07/02/2018,18
2,EUDORA,3,MAQUIAGEM,07/31/2018,7
4,VULT,1,CABELOS,01/15/2018,8
1,BOTICÁRIO,2,PERFUMARIA,06/10/2018,5
4,VULT,4,SOLAR,06/25/2018,7
4,VULT,5,HIDRATANTES,07/10/2018,3
5,BELEZA NA WEB,1,CABELOS,04/12/2018,18
2,EUDORA,5,HIDRATANTES,12/02/2018,9
2,EUDORA,5,HIDRATANTES,12/27/2018,10
4,VULT,2,PERFUMARIA,08/22/2018,10
3,QUEM DISSE BERENICE,3,MAQUIAGEM,11/12/2018,7
5,BELEZA NA WEB,2,PERFUMARIA,01/22/2018,5
4,VULT,5,HIDRATANTES,07/09/2018,11
2,EUDORA,2,PERFUMARIA,12/16/2018,19
3,QUEM DISSE BERENICE,3,MAQUIAGEM,03/28/2018,2
5,BELEZA NA WEB,5,HIDRATANTES,07/01/2018,3
4,VULT,2,PERFUMARIA,08/03/2018,7
2,EUDORA,3,MAQUIAGEM,05/08/2018,7
1,BOTICÁRIO,2,PERFUMARIA,06/17/2018,13
3,QUEM DISSE BERENICE,5,HIDRATANTES,06/29/2018,1
5,BELEZA NA WEB,4,SOLAR,11/10/2018,2
5,BELEZA NA WEB,2,PERFUMARIA,03/02/2018,6
2,EUDORA,4,SOLAR,12/03/2018,12
4,VULT,2,PERFUMARIA,06/09/2018,1
5,BELEZA NA WEB,3,MAQUIAGEM,04/20/2018,13
3,QUEM DISSE BERENICE,2,PERFUMARIA,02/22/2018,10
5,BELEZA NA WEB,1,CABELOS,05/14/2018,12
4,VULT,4,SOLAR,04/07/2018,13
4,VULT,5,HIDRATANTES,01/21/2018,12
2,EUDORA,4,SOLAR,07/28/2018,2
1,BOTICÁRIO,1,CABELOS,08/01/2018,4
2,EUDORA,5,HIDRATANTES,02/01/2018,11
4,VULT,1,CABELOS,05/05/2018,8
4,VULT,1,CABELOS,10/18/2018,9
5,BELEZA NA WEB,2,PERFUMARIA,04/25/2018,15
4,VULT,2,PERFUMARIA,03/17/2018,20
4,VULT,5,HIDRATANTES,04/18/2018,12
2,EUDORA,1,CABELOS,02/24/2018,7
4,VULT,3,MAQUIAGEM,01/16/2018,3
3,QUEM DISSE BERENICE,4,SOLAR,09/16/2018,1
3,QUEM DISSE BERENICE,3,MAQUIAGEM,11/05/2018,4
3,QUEM DISSE BERENICE,3,MAQUIAGEM,03/06/2018,1
2,EUDORA,5,HIDRATANTES,06/09/2018,11
1,BOTICÁRIO,5,HIDRATANTES,04/29/2018,12
5,BELEZA NA WEB,3,MAQUIAGEM,08/28/2018,5
3,QUEM DISSE BERENICE,2,PERFUMARIA,09/02/2018,1
1,BOTICÁRIO,3,MAQUIAGEM,03/03/2018,11
5,BELEZA NA WEB,4,SOLAR,02/13/2018,1
1,BOTICÁRIO,3,MAQUIAGEM,07/25/2018,18
3,QUEM DISSE BERENICE,3,MAQUIAGEM,11/13/2018,17
3,QUEM DISSE BERENICE,1,CABELOS,01/29/2018,16
4,VULT,3,MAQUIAGEM,06/13/2018,20
1,BOTICÁRIO,3,MAQUIAGEM,06/07/2018,19
2,EUDORA,2,PERFUMARIA,02/21/2018,16
5,BELEZA NA WEB,1,CABELOS,08/21/2018,5
4,VULT,3,MAQUIAGEM,12/30/2018,5
4,VULT,3,MAQUIAGEM,12/31/2018,14
1,BOTICÁRIO,3,MAQUIAGEM,12/18/2018,1
1,BOTICÁRIO,1,CABELOS,01/27/2018,19
2,EUDORA,1,CABELOS,05/30/2018,2
2,EUDORA,4,SOLAR,07/22/2018,3
1,BOTICÁRIO,2,PERFUMARIA,08/12/2018,19
4,VULT,3,MAQUIAGEM,02/12/2018,12
2,EUDORA,4,SOLAR,05/21/2018,10
2,EUDORA,3,MAQUIAGEM,04/19/2018,2
3,QUEM DISSE BERENICE,4,SOLAR,01/19/2018,17
3,QUEM DISSE BERENICE,2,PERFUMARIA,08/31/2018,9
2,EUDORA,3,MAQUIAGEM,01/09/2018,6
